date,month,year
1/1/20,1,2020
1/2/20,1,2020
1/3/20,1,2020
1/4/20,1,2020
1/5/20,1,2020
1/6/20,1,2020
1/7/20,1,2020
1/8/20,1,2020
1/9/20,1,2020
1/10/20,1,2020
1/11/20,1,2020
1/12/20,1,2020
1/13/20,1,2020
1/14/20,1,2020
1/15/20,1,2020
1/16/20,1,2020
1/17/20,1,2020
1/18/20,1,2020
1/19/20,1,2020
1/20/20,1,2020
1/21/20,1,2020
1/22/20,1,2020
1/23/20,1,2020
1/24/20,1,2020
1/25/20,1,2020
1/26/20,1,2020
1/27/20,1,2020
1/28/20,1,2020
1/29/20,1,2020
1/30/20,1,2020
1/31/20,1,2020
2/1/20,2,2020
2/2/20,2,2020
2/3/20,2,2020
2/4/20,2,2020
2/5/20,2,2020
2/6/20,2,2020
2/7/20,2,2020
2/8/20,2,2020
2/9/20,2,2020
2/10/20,2,2020
2/11/20,2,2020
2/12/20,2,2020
2/13/20,2,2020
2/14/20,2,2020
2/15/20,2,2020
2/16/20,2,2020
2/17/20,2,2020
2/18/20,2,2020
2/19/20,2,2020
2/20/20,2,2020
2/21/20,2,2020
2/22/20,2,2020
2/23/20,2,2020
2/24/20,2,2020
2/25/20,2,2020
2/26/20,2,2020
2/27/20,2,2020
2/28/20,2,2020
2/29/20,2,2020
3/1/20,3,2020
3/2/20,3,2020
3/3/20,3,2020
3/4/20,3,2020
3/5/20,3,2020
3/6/20,3,2020
3/7/20,3,2020
3/8/20,3,2020
3/9/20,3,2020
3/10/20,3,2020
3/11/20,3,2020
3/12/20,3,2020
3/13/20,3,2020
3/14/20,3,2020
3/15/20,3,2020
3/16/20,3,2020
3/17/20,3,2020
3/18/20,3,2020
3/19/20,3,2020
3/20/20,3,2020
3/21/20,3,2020
3/22/20,3,2020
3/23/20,3,2020
3/24/20,3,2020
3/25/20,3,2020
3/26/20,3,2020
3/27/20,3,2020
3/28/20,3,2020
3/29/20,3,2020
3/30/20,3,2020
3/31/20,3,2020
4/1/20,4,2020
4/2/20,4,2020
4/3/20,4,2020
4/4/20,4,2020
4/5/20,4,2020
4/6/20,4,2020
4/7/20,4,2020
4/8/20,4,2020
4/9/20,4,2020
4/10/20,4,2020
4/11/20,4,2020
4/12/20,4,2020
4/13/20,4,2020
4/14/20,4,2020
4/15/20,4,2020
4/16/20,4,2020
4/17/20,4,2020
4/18/20,4,2020
4/19/20,4,2020
4/20/20,4,2020
4/21/20,4,2020
4/22/20,4,2020
4/23/20,4,2020
4/24/20,4,2020
4/25/20,4,2020
4/26/20,4,2020
4/27/20,4,2020
4/28/20,4,2020
4/29/20,4,2020
4/30/20,4,2020
5/1/20,5,2020
5/2/20,5,2020
5/3/20,5,2020
5/4/20,5,2020
5/5/20,5,2020
5/6/20,5,2020
5/7/20,5,2020
5/8/20,5,2020
5/9/20,5,2020
5/10/20,5,2020
5/11/20,5,2020
5/12/20,5,2020
5/13/20,5,2020
5/14/20,5,2020
5/15/20,5,2020
5/16/20,5,2020
5/17/20,5,2020
5/18/20,5,2020
5/19/20,5,2020
5/20/20,5,2020
5/21/20,5,2020
5/22/20,5,2020
5/23/20,5,2020
5/24/20,5,2020
5/25/20,5,2020
5/26/20,5,2020
5/27/20,5,2020
5/28/20,5,2020
5/29/20,5,2020
5/30/20,5,2020
5/31/20,5,2020
6/1/20,6,2020
6/2/20,6,2020
6/3/20,6,2020
6/4/20,6,2020
6/5/20,6,2020
6/6/20,6,2020
6/7/20,6,2020
6/8/20,6,2020
6/9/20,6,2020
6/10/20,6,2020
6/11/20,6,2020
6/12/20,6,2020
6/13/20,6,2020
6/14/20,6,2020
6/15/20,6,2020
6/16/20,6,2020
6/17/20,6,2020
6/18/20,6,2020
6/19/20,6,2020
6/20/20,6,2020
6/21/20,6,2020
6/22/20,6,2020
6/23/20,6,2020
6/24/20,6,2020
6/25/20,6,2020
6/26/20,6,2020
6/27/20,6,2020
6/28/20,6,2020
6/29/20,6,2020
6/30/20,6,2020
